uuid,awareness,vote,effect,arguments_for,arguments_against
f8f95970-da28-0133-75d2-0a81e8b09a82,I know something about it,I would probably vote against it,Work less,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
f8fca690-de54-0133-23b6-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state | It is against the principle of linking merit and reward | It might encourage people to stop working
a96ac600-da2f-0133-a7cd-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state
8dd40a20-de67-0133-95b6-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Work as a freelancer,It reduces anxiety about financing basic needs,It might encourage people to stop working
5586f290-d972-0133-f6e5-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working
cd77ebc0-de28-0133-657e-0a81e8b09a82,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above
dcab3aa0-dc79-0133-412b-0a81e8b09a82,I know something about it,I would probably vote for it,Spend more time with my family,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working
2fb4da70-dcef-0133-cafd-0a81e8b09a82,I have heard just a little about it,I would vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance
73771070-d8ec-0133-ae53-0a81e8b09a82,I know something about it,I would probably vote for it,None of the above,It encourages financial independence and self-responsibility,It is impossible to finance
3aa979b0-d93d-0133-c00b-0a81e8b09a82,I understand it fully,I would vote for it,Work as a freelancer,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
11c6e300-deb8-0133-5b60-0a81e8b09a82,I know something about it,I would not vote,Spend more time with my family,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state
